display_name,centroid_lat,centroid_long,radius
Belfast City Centre,54.596189,-5.930061,1.442000
Greenwich,51.477102,0.026946,4.389000
Longbridge,52.396738,-1.976989,1.496000
Hucknall,53.034522,-1.209955,2.102000
Kings Cross,51.529422,-0.121929,1.421000
South East London,51.440180,-0.004483,14.290000
Arnold,53.001251,-1.129569,1.978000
Southgate,51.631213,-0.130728,1.404000
Forest Gate,51.545505,0.028013,1.366000
Southmead,51.501309,-2.598719,0.979000
East End,55.857464,-4.194382,8.482000
Marchmont,55.936736,-3.195407,0.509000
Feltham,51.444386,-0.409884,2.075000
Wortley,53.788270,-1.591246,1.540000
Bilborough,52.963770,-1.225110,1.471000
Queens Park,55.835796,-4.266422,0.565000
Luton,51.893044,-0.430391,7.709000
Downend,51.487419,-2.504961,1.715000
Newton Heath,53.498222,-2.179978,1.201000
Royal Mile,55.949575,-3.187938,0.805000
Newport Road,51.487490,-3.156444,1.358000
South Croydon,51.353041,-0.092067,2.531000
Arboretum,52.960745,-1.159421,0.812000
Hillington,55.850345,-4.358767,0.594000
Dean Village,55.951700,-3.218350,0.142000
Westbury Park,51.478285,-2.609319,0.451000
Long Ashton,51.429829,-2.661778,1.085000
Dartford,51.445122,0.214044,3.859000
Sherwood Rise,52.971598,-1.159836,0.408000
Andersonstown,54.575501,-5.996753,1.490000
Norwood,51.414931,-0.088553,1.993000
Highgate,51.570748,-0.140481,1.347000
Jewellery Quarter,52.485631,-1.909961,0.443000
Cathcart,55.818795,-4.261660,0.452000
Dennistoun,55.860754,-4.215058,1.096000
Greenford,51.533711,-0.351428,2.484000
Old Swan,53.414207,-2.915165,0.860000
Haringey,51.584972,-0.097921,1.744000
Anfield,53.426967,-2.952774,1.348000
London Road,55.957224,-3.168908,1.274000
Kensington,53.411530,-2.948825,0.832000
Silverknowes,55.968305,-3.266784,0.815000
Poplar,51.510929,-0.020169,1.175000
Highgate,52.465934,-1.888752,0.696000
Clarkston,55.789020,-4.277807,1.412000
Edgware,51.608536,-0.271326,1.548000
Druids Heath,52.405270,-1.896160,0.704000
Canary Wharf,51.507652,-0.025523,3.522000
Queens Park,51.534602,-0.205544,1.254000
Niddrie,55.932596,-3.121675,0.448000
Knowle,51.430971,-2.576107,1.805000
Milton Keynes,52.028178,-0.756307,16.668000
Camden Town,51.537479,-0.138394,1.280000
Cessnock,55.851911,-4.295478,0.540000
Cardonald,55.845210,-4.346448,1.225000
Parkhead,55.922991,-3.275358,0.500000
Roath,51.490657,-3.165474,1.339000
Kensington,51.497693,-0.196094,1.684000
Hayes,51.514262,-0.415247,2.103000
Winterbourne,51.522309,-2.501813,0.880000
Stratford,51.540031,0.015068,2.611000
Kings Heath,52.430383,-1.892215,0.696000
Kingsdown,51.461430,-2.594958,0.610000
Dinas Powys,51.433561,-3.212996,0.918000
Sparkhill,52.453374,-1.866605,1.396000
Clapham Junction,51.464198,-0.164329,1.608000
Kimberley,52.999095,-1.258301,1.354000
Notting Hill,51.513789,-0.201703,1.313000
Meanwood,53.828167,-1.563489,1.039000
Sherwood,52.979924,-1.151950,1.241000
Rumney,51.510749,-3.121806,1.504000
Finnieston,55.863333,-4.281637,0.748000
Stechford,52.482895,-1.799715,1.988000
Reading,51.447684,-1.008061,21.821000
Clifton,52.904070,-1.180650,1.496000
Wembley,51.557056,-0.290336,2.858000
Antrim Road,54.618822,-5.937129,1.015000
Pollok,55.826168,-4.349597,1.296000
Strathbungo,55.836467,-4.270341,0.514000
Clapham Common,51.459710,-0.137879,1.336000
Clovenstone,55.911513,-3.273614,0.313000
Merchant City,55.858765,-4.245398,0.644000
